Suffix,Place Name,State,Lat,Long
field,Fairfield,AL,33.5628824,-86.7980461
ford,Fairford,AL,31.1682301,-88.0641685
hope,Fairhope,AL,30.5229719,-87.9033261
view,Fairview,AL,31.4193334,-87.0052519
view,Fairview,AL,33.3787278,-87.8855735
view,Fairview,AL,34.2520422,-87.7897521
view,Fairview,AL,34.5814814,-86.972508
view,Fairview,AL,34.8031447,-86.832502
view,Fairview,AL,34.2553741,-86.6880519
ville,Falkville,AL,34.3684295,-86.908616
ville,Farmersville,AL,32.0782004,-86.8919272
ville,Fayetteville,AL,33.1456725,-86.4058112
bank,Fernbank,AL,33.5792812,-88.1416964
land,Fernland,AL,30.4832523,-88.2930616
tates,Fernwood Estates,AL,33.6262141,-86.6788775
town,Fieldstown,AL,33.6420484,-86.8558264
creek,Flat Creek,AL,33.6442735,-87.0924982
wood,Flatwood,AL,32.4504141,-86.2610799
wood,Flatwood,AL,32.1493111,-87.5230557
wood,Flatwood,AL,33.9451067,-87.5033467
hills,Fleming Hills,AL,34.6614801,-86.5827701
adows,Fleming Meadows,AL,34.6828689,-86.5719363
ights,Flemington Heights,AL,34.6692578,-86.5594358
hill,Flint Hill,AL,33.3551117,-87.0063823
rest,Floral Crest,AL,34.8736901,-85.5902443
loyd,Floyd,AL,32.6001325,-86.0171849
city,Ford City,AL,34.7859209,-87.528637
hill,Forest Hill,AL,30.7149115,-88.1533355
hills,Forest Hills,AL,33.2959457,-86.3360881
hills,Forest Hills,AL,33.4703853,-86.9249924
hills,Forest Hills,AL,34.8528645,-87.682806
ome,Forest Home,AL,31.8623735,-86.8427575
land,Forkland,AL,32.6481893,-87.8833475
ights,Fountain Heights,AL,33.529272,-86.8263796
ing,Fowler Spring,AL,34.0339868,-86.5872134
ights,Frances Heights,AL,33.6131598,-86.8366589
ville,Freemanville,AL,31.0718459,-87.5208171
ing,Fridays Crossing,AL,34.0598191,-86.4338744
dship,Friendship,AL,31.4034993,-86.2066178
dship,Friendship,AL,32.5370789,-85.9746831
rings,Fulton Springs,AL,33.6184371,-86.8016582
city,Garden City,AL,34.0145436,-86.7469414
land,Garland,AL,31.5565503,-86.8233063
ville,Garnersville,AL,31.8762633,-86.2727411
mber2,Garnsey Number 2,AL,33.157062,-86.9888811
wood,Garywood,AL,33.4598303,-86.9638821
city,Gate City,AL,33.5478821,-86.7266553
ville,Gaylesville,AL,34.268426,-85.5569057
town,Georgetown,AL,30.8885182,-88.2702846
town,Georgetown,AL,31.2965591,-87.735549
town,Gilbertown,AL,31.8770975,-88.3214089
hills,Glen Hills,AL,33.3781664,-86.9774929
oaks,Glen Oaks,AL,33.4562192,-86.9366592
view,Glenview,AL,33.4781626,-86.8941584
ville,Glenville,AL,32.1287646,-85.1768793
wood,Glenwood,AL,31.6646032,-86.1713444
ing,Gobblers Crossing,AL,33.7509408,-87.2180576
tates,Godwin Estates,AL,33.6434359,-86.6547104
hill,Gold Hill,AL,32.7217975,-85.5077283
rings,Golden Springs,AL,33.6437155,-85.7857971
hope,Good Hope,AL,32.5734666,-86.0132956
hope,Good Hope,AL,34.1159328,-86.8636124
rings,Goodsprings,AL,33.6689973,-87.2316677
ights,Gordon Heights,AL,33.4284422,-86.9252699
ham,Graham,AL,33.4576125,-85.3207827
hill,Gravel Hill,AL,34.4853729,-87.7419767
ville,Graysville,AL,33.6206611,-86.9713844
hill,Green Hill,AL,34.9731387,-87.5122461
ights,Greenleas Heights,AL,33.572327,-86.8319359
ville,Greenville,AL,31.8295972,-86.6177517
wood,Greenwood,AL,31.7795997,-87.7600006
wood,Greenwood,AL,33.3259456,-86.9361027
epark,Grove Park,AL,33.2717799,-86.3621997
epark,Grove Park,AL,33.4789952,-86.8024895
rings,Gum Springs,AL,34.0487094,-86.663883
ville,Hackneyville,AL,33.0603978,-85.9330202
ville,Haleyville,AL,34.226488,-87.6214133
town,Halltown,AL,34.4531528,-88.0614285
ville,Hanceville,AL,34.0606545,-86.767498
hill,Happy Hill,AL,31.1815628,-88.0516681
ights,Harlem Heights,AL,33.460386,-86.9805492
ville,Harpersville,AL,33.3439995,-86.4380357
land,Hayes Highland,AL,33.5778825,-86.8311027
ing,Haynes Crossing,AL,34.8823042,-85.8158081
ville,Hayneville,AL,32.1840315,-86.5802533
tates,Haysland Estates,AL,34.6537023,-86.5777699
land,Headland,AL,31.351284,-85.3421559
rings,Healing Springs,AL,31.632383,-88.3366833
ville,Henryville,AL,34.424534,-86.262204
ights,Hester Heights,AL,34.5431495,-87.7089202
grove,Hickory Grove,AL,33.3417788,-86.9997153
hills,Hickory Hills,AL,34.5487041,-86.9250061
hills,Hickory Hills,AL,34.8309204,-87.6503056
hill,Hicks Hill,AL,32.2393069,-86.7485917
hills,Hideaway Hills,AL,34.8559194,-87.5614148
bluff,High Bluff,AL,31.1565648,-85.7313225
land,Highland,AL,32.7931828,-86.673316
top,Hill Top,AL,32.2595879,-87.9002914
sboro,Hillsboro,AL,34.639258,-87.1916834
farm,Hobbie Farm,AL,32.1940325,-86.2446876
land,Hobbs Island,AL,34.5370358,-86.5347122
ville,Hodgesville,AL,31.0826803,-85.3729886
wood,Hodgewood,AL,31.9373732,-88.3022428
tates,Holiday Park Estates,AL,33.6531581,-86.6697109
grove,Holly Grove,AL,33.8387195,-87.4225084
rings,Holly Springs,AL,33.8245436,-86.4783185
wood,Hollywood,AL,33.4728841,-86.7830446
wood,Hollywood,AL,34.72425,-85.9724787
ville,Holtville,AL,32.6362421,-86.326639
wood,Homewood,AL,33.4717732,-86.8008228
city,Hooper City,AL,33.5553829,-86.8411025
town,Houstontown,AL,34.8273088,-87.4350232
ville,Houstonville,AL,30.5018613,-87.9002704
ville,Hubbertville,AL,33.8278839,-87.7400186
grove,Hudson Grove,AL,33.4312199,-86.9308255
rest,Hueytown Crest,AL,33.4612194,-86.9969384
epark,Huntsville Park,AL,34.7045355,-86.6188826
ville,Hustleville,AL,34.311759,-86.1674777
epark,Hyde Park,AL,33.4778847,-86.8799913
hill,Indian Hill,AL,33.2976123,-86.3527553
city,Industrial City,AL,33.4439977,-86.9819379
ights,Interurban Heights,AL,33.481496,-86.9141589
ights,Jackson Heights,AL,30.6704684,-88.1580576
oak,Jackson Oak,AL,30.6226917,-87.9119384
gap,Jacksons Gap,AL,32.8862364,-85.8116265
town,Jamestown,AL,34.3978666,-85.5774627
hills,Jefferson Hills,AL,33.5723264,-86.7733234
alley,Jones Valley,AL,33.4651073,-86.8788801
tates,Jones Valley Estates,AL,34.6834244,-86.5577692
sburg,Keysburg,AL,33.9450988,-85.9180249
rings,Killough Springs,AL,33.6131589,-86.706378
town,Kingtown,AL,34.9053627,-87.3830768
grove,Kirks Grove,AL,34.1903727,-85.4569026
place,La Place,AL,32.3784735,-85.8627339
ville,Brantleyville,AL,33.2159489,-86.8749896
tates,Lake Drive Estates,AL,33.4489963,-86.8074895
tates,Lake Shore Estates,AL,33.4589959,-86.8061006
view,Lakeview,AL,34.3303704,-86.3222047
view,Lakeview,AL,34.7895323,-87.6166944
tates,Lakeview Estates,AL,33.4526072,-86.803045
wood,Lakewood,AL,33.557882,-86.7133218
wood,Lakewood,AL,34.7795348,-86.5877708
hills,Lakewood Hills,AL,33.4442743,-86.8108228
land,Land,AL,32.0287593,-88.3283577
ville,Larkinsville,AL,34.6909189,-86.1247038
wood,Larkwood,AL,33.6537137,-86.6963783
wood,Lattiwood,AL,34.2728716,-86.284147
beach,Lauderdale Beach,AL,34.8634193,-87.5689148
ville,Lawrenceville,AL,31.6576665,-85.2691013
sburg,Lewisburg,AL,33.5826044,-86.8055466
city,Liberty City,AL,32.5812455,-85.7491225
hill,Liberty Hill,AL,34.3475966,-87.7650308
wood,Lightwood,AL,32.7117957,-86.3891412
ncoln,Lincoln,AL,34.7456465,-86.5874926
ville,Lizzieville,AL,32.7876312,-88.0289075
city,Lola City,AL,33.5728815,-86.6010971
tates,Longleaf Estates,AL,34.5445376,-86.996398
view,Longview,AL,34.2506539,-86.8861147
ville,Louisville,AL,31.7834963,-85.5557751
hill,Love Hill,AL,31.1160136,-85.2738214
town,Lowerytown,AL,33.1120638,-87.1516628
town,Lowetown,AL,33.3087247,-87.0752724
town,Lynntown,AL,34.4306492,-86.7052748
beach,Magnolia Beach,AL,30.5157499,-87.9174931
rings,Magnolia Springs,AL,30.3996424,-87.7761001
view,Mansion View,AL,34.8623089,-87.72864
wood,Maplewood,AL,33.5389932,-86.5527623
wood,Maplewood,AL,34.6981468,-86.7583322
town,Martintown,AL,34.7436938,-85.9205331
ing,Martling,AL,34.367313,-86.1674786
city,Mason City,AL,33.4681626,-86.8497128
town,Maytown,AL,33.53594,-86.997217
town,McClure Town,AL,31.8446003,-85.9610623
ough,McCullough,AL,31.1668422,-87.5263747
town,McGee Town,AL,34.8514759,-87.7480851
ville,McVille,AL,34.286204,-86.1277542
hills,Meadow Hills,AL,34.7931458,-86.5808262
wood,Meadowood,AL,34.3637045,-86.5102669
ights,Meadwood Heights,AL,33.5756596,-86.7519341
ville,Meeksville,AL,31.9179315,-86.005509
ville,Meridianville,AL,34.8514782,-86.5722154
ing,Mexia Crossing,AL,31.4884966,-87.3713751
ville,Micaville,AL,33.4967771,-85.5410666
field,Midfield,AL,33.4614966,-86.9088808
rings,Milk Springs,AL,34.6759241,-87.7130862
brook,Millbrook,AL,32.4798575,-86.3619163
tates,Million Dollar Lake Estates,AL,33.2734483,-87.1461072
ville,Millville,AL,32.5270818,-88.3358644
rings,Mineral Springs,AL,32.9517897,-86.6452607
rings,Mineral Springs,AL,33.6262156,-86.8786045
ights,Monterey Heights,AL,32.5120848,-85.090769
town,Moore Town,AL,32.5509698,-88.1069665
field,Moorefield,AL,32.8251282,-85.4441158
ville,Mooresville,AL,34.628425,-86.8802819
city,Morgan City,AL,34.4720365,-86.5697136
side,Morningside,AL,33.6295473,-86.6658216
grove,Mossy Grove,AL,31.7546025,-85.95995
ights,Moulton Heights,AL,34.5973145,-87.0144541
hope,Mount Hope,AL,33.7692744,-87.241114
ing,Mount Sterling,AL,32.093758,-88.1630745
view,Mount View,AL,34.2548193,-86.7847222
ing,Mount Willing,AL,32.0601458,-86.7013673
brook,Mountain Brook,AL,34.725091,-86.547769
